,a1,a2,a3,a4,a5,a6,evening_energy,evening_gt,evening_mins,evening_pred,hvac_class,morning_energy,morning_gt,morning_mins,morning_pred,overall_energy,overall_mins,rating,sleep_energy,sleep_gt,sleep_mins,sleep_pred,work_energy,work_gt,work_mins,work_pred
5026,0.081872837442450414,0.058141248950982778,0.049488127419399355,0.072114486449122189,0.96824517850882885,-0.0044781542419495774,20896356.0,74.0,7648,62.957845277194046,Bad,17129546.0,72.0,6251,60.000000055407618,78628338.0,28674,0,31589961.0,72.0,11573,60.000005814840591,9086193.0,75.0,3229,71.25956080897447
5109,0.031666202901718232,0.020783401158223937,0.023008759627034088,0.02654346284195986,0.61628948076970902,-0.0088714193829237467,7559034.0,77.0,4054,62.436790608432673,Bad,6984187.0,77.0,3738,60.000000085141835,34327245.0,18385,0,13526112.0,77.0,7292,60.000048396590763,6285816.0,77.0,3316,71.839946163492201
5209,0.019239472622271891,0.0035586705072412064,0.0080596573190086229,0.01772312678957913,0.32509316556689721,0.0019400955448044847,4098024.0,76.0,4844,72.363198413105565,Bad,2845944.0,76.0,3364,70.080191524584336,19575594.0,23139,0,8631738.0,74.0,10203,60.000001333007411,4010886.0,76.0,4741,66.61800659135794
5218,0.034498368817659518,0.022738530202697792,0.020989657815430555,0.027722082048485766,0.42109678198652706,-0.019231210670125946,3372164.0,76.0,2258,64.364772037469692,Bad,3530938.0,78.0,2365,60.000001059210298,19724232.0,13224,1.5714285714285714,10861836.0,76.0,7302,60.000000002795247,1981632.0,82.0,1314,64.628990462511922
5357,0.018480062366473725,0.019894355200430761,0.037121333165580001,0.071259236172073845,1.4543232963716646,-0.013156250846957354,17238054.0,75.0,5322,72.483459376630975,Bad,6743860.0,75.0,1710,82.415337074894893,64170999.0,19157,0,21921630.0,78.0,6690,60.000000000888562,18287880.0,75.0,5440,60.000147319604658
5371,0.044838198381576357,0.031728045983929351,0.033638635232405581,0.040973956110607543,0.49746509281024076,-0.00829940160217605,9157488.0,78.0,5349,65.942710462873706,Average,5502368.0,78.0,3214,60.000000000666176,36381712.0,21251,2.2857142857142856,15426832.0,78.0,9011,60.000000024835195,6318992.0,80.0,3691,67.16526959410902
5677,0.031194394990057415,0.023464206646933362,0.013736305397610622,0.023342162155133465,0.45867398028459561,-0.0012207748246067989,3585972.0,76.0,2172,72.251175675479814,Bad,5882513.0,76.0,3563,65.831574368401192,24897080.0,15080,0.14285714285714285,11839321.0,73.0,7171,60.000001952383684,3615690.0,79.0,2190,77.922200626735687
5785,0.0081637627219055004,0.028897674432582725,0.01687630388574942,0.022808511582149187,0.47386508611414374,-0.0094196398118749376,2872480.0,78.0,1381,73.137367550848523,Average,661440.0,78.0,318,83.075672421874401,17580160.0,8452,2.0,4829760.0,77.0,2322,60.000000000012577,9218560.0,78.0,4432,60.000010726100882
5814,0.039677076101863565,0.018646636221635624,0.016276074534635174,0.034204506240280201,0.3901773303581787,0.0072768316635057799,7228491.0,75.0,4509,69.996108748195056,Bad,5220209.0,73.0,3253,63.99687147387467,30499062.0,19018,0.0,14151606.0,73.0,8834,60.000000038320977,3921204.0,78.0,2436,75.133734977568864
6072,0.043151541659751283,0.041237385226170327,0.031601355552949364,0.040609624913074377,0.93247635396140771,-0.011606589366712605,10828557.0,83.0,5091,66.39849449445515,Good,14406171.0,83.0,6773,60.000000002299728,54168309.0,25467,3.7142857142857144,18817569.0,83.0,8847,60.000000001972914,10171314.0,83.0,4782,66.666335235455023
6836,0.017170935473734349,0.013029145596679483,0.01041483674639276,0.015331431909151894,0.22758842669734974,0.0061597059241358483,3127869.0,78.0,3131,69.562536839949146,Bad,3647349.0,76.0,3651,60.000017543387237,15022962.0,15038,1.2857142857142856,6698295.0,77.0,6705,60.000000007589605,1561437.0,80.0,1563,76.268323832359712
6910,0.072799405867533723,0.021652163193625843,0.032216842699310605,0.070067234318429261,0.43784018621598325,-0.0015258774626061022,4563647.0,75.0,1441,75.0917416061707,Bad,4012589.0,75.0,1267,60.000001232502925,33342176.0,10528,0.0,21649612.0,72.0,6836,60.000000657615104,3135330.0,78.0,990,66.158599850929932
7319,0.045878932724971594,0.030032133860104154,0.031252392850048126,0.039620314066469958,0.2416572485626873,0.017731693035564718,6131652.0,78.0,3138,67.674375160969689,Average,2542154.0,78.0,1301,64.687395875039059,25386368.0,12992,2.2857142857142856,11278488.0,77.0,5772,60.000000000634529,5451660.0,80.0,2790,72.767732170010532
7390,0.02054282616169557,0.0031810663652450111,0.011181090738658223,0.022419949997778476,0.28539017531306599,0.0095477368766682218,3382830.0,78.0,1485,74.379228147912698,Average,2123096.0,78.0,932,60.062671435427738,14793332.0,6494,2.1428571428571428,7606242.0,77.0,3339,60.000000633773567,1690276.0,79.0,742,80.901924661171023
7510,0.031356613938529142,0.019075520862486033,0.018307248397156774,0.026913911547211809,0.27510140752521656,0.0060701440376197185,5297780.0,78.0,3245,61.95013593653529,Average,1627633.0,80.0,985,61.726447968091691,18499736.0,11309,2.2857142857142856,7593908.0,78.0,4652,60.000000019532507,3990252.0,80.0,2433,60.00022634931122
7731,0.049818134082781372,0.0050351029367581785,0.034331017606399047,0.058285887429590122,0.35740985273477105,0.0054674084240998594,11073648.0,75.0,4926,71.74228162377733,Bad,2875192.0,75.0,1279,64.299892298397751,35361040.0,15730,0,15774216.0,77.0,7017,60.000000019555934,5653720.0,77.0,2515,79.114753133319269
7769,0.0086857371829894333,0.0068949992152787746,0.0041951546394576166,0.0055941320318823725,0.18463695412952652,-0.0129337340672052,265350.0,79.0,183,71.874719487484185,Good,1352850.0,80.0,933,62.600506990170857,3967200.0,2736,3,1628350.0,80.0,1123,60.000000439155208,727900.0,85.0,502,60.000117442881859
7866,0.060671277945327493,0.044978994914115354,0.029506819571028669,0.045273949397978935,0.59164148926381754,-0.01014964664612531,5209426.0,75.0,2302,68.244585087979118,Bad,6182516.0,78.0,2732,60.000000004374193,29043342.0,12834,1.0,13175186.0,73.0,5822,60.000000102348196,4496581.0,78.0,1987,65.647014697336218
7982,0.020001858045217785,0.020833788731401348,0.014313058487544994,0.015498378303629325,0.51448359117567444,-0.010076661951196917,896862.0,78.0,462,69.185360582622479,Average,3337808.0,78.0,1746,60.000000907697959,6083133.0,3153,2.5714285714285712,1094402.0,78.0,562,76.315696975886368,759826.0,82.0,386,83.017319984209834
8047,0.040279974945948052,-0.0038052933403138461,0.014822708960619838,0.048707689263461119,0.1960839369904824,0.0044216379143844483,3983937.0,78.0,1341,76.66189533588468,Average,692858.0,84.0,228,60.385543324132499,13933954.0,4682,2.8571428571428572,7208593.0,78.0,2429,64.165301931398275,2054542.0,84.0,686,60.000000043812015
8142,0.025874946570632436,0.0065778061996685025,0.0093627141743262959,0.020583553123149155,0.35890572193309495,-0.0064052575256065038,2124888.0,82.0,852,73.038760605713009,Average,3152416.0,80.0,1264,60.001484679813906,11664438.0,4677,2.2857142857142856,5222436.0,78.0,2094,60.000001375018954,1177168.0,80.0,472,66.289532743621109
8292,0.03609854281497251,0.020989212459970989,0.01878716445021749,0.037365556842778591,0.35365616760495361,0.0007628354726928096,2531232.0,76.0,1128,77.79847088301112,Bad,4777476.0,77.0,2129,60.000233248106419,20146632.0,8978,0,10257324.0,77.0,4571,60.19804382884135,2600796.0,77.0,1159,70.602934714635069
8956,0.026350164518232386,0.0049351050665534576,0.0088312948021495846,0.026288917664401796,0.078304273797273644,-0.00012742926556104348,1498530.0,71.0,1254,74.89985130021698,Bad,1290600.0,71.0,1080,60,10220835.0,8553,0.2857142857142857,6223560.0,70.0,5208,60.000000032278408,1212925.0,80.0,1015,60.006560152556496
9484,0.067054181737689525,0.05721129585659343,0.040701320814104526,0.063614756473755904,1.219674297510341,-0.0053987117384010925,18171990.0,72.0,6870,65.901818842732709,Bad,21165171.0,74.0,8005,60.000000000152461,89253405.0,33745,0,29831391.0,68.0,11283,60,20161512.0,74.0,7616,65.128167229406046
9499,0.0049492408676964283,-0.0015174763892011956,0.0078054600713422188,0.0095282305475733187,0.37512062142361863,-0.007265226934208089,1352492.0,80.0,964,60.000000026837547,Average,1589599.0,78.0,1133,60.000078149747019,6731594.0,4798,2.2857142857142856,2476295.0,78.0,1765,64.819121801204702,1321626.0,80.0,942,60.000000290403392
9609,0.02990228002763293,0.024145382814408513,0.02676978611985514,0.019415353851196335,0.40096590226024459,-0.00036039992994877274,3454106.0,78.0,1583,63.433779641742767,Bad,3109350.0,76.0,1425,60.000000199060636,14767776.0,6768,1.5714285714285714,5564100.0,78.0,2550,60,2666404.0,82.0,1222,75.738772911817705
9922,0.09381025364458527,-0.0021594013142088443,0.057727616086300997,0.10263646321707907,0.9260537527599535,-0.010126380321756775,24856305.0,68.0,6597,66.381803822760233,Bad,3576587.0,69.0,945,60.947626112886951,82719735.0,21947,0,37525440.0,68.0,9960,60.000000013826046,16776525.0,68.0,4449,62.92101985627631
9933,0.045418782410788894,0.017183024085809316,0.022723107917459857,0.037344007087547371,0.37762817405784183,-0.0047549210988015221,3073851.0,74.0,1527,72.995641259104758,Average,4541328.0,78.0,2256,60.000000000000028,24546522.0,12194,2,13980285.0,74.0,6945,60.0000000183583,2975214.0,85.0,1478,71.513090278636327
9934,0.031351163218395144,0.019094551227773187,0.018920133238555424,0.024952777062511831,0.76210157964254222,-0.028157386742842499,4238066.0,77.0,1778,68.137165367394758,Bad,5369537.0,77.0,2260,60.000002803918029,22738065.0,9555,0,10136300.0,74.0,4280,61.285195215114953,3015502.0,77.0,1246,81.512705583311515
