,a1,a2,a3,a4,a5,a6,evening_energy,evening_gt,evening_mins,evening_pred,hvac_class,morning_energy,morning_gt,morning_mins,morning_pred,overall_energy,overall_mins,rating,sleep_energy,sleep_gt,sleep_mins,sleep_pred,work_energy,work_gt,work_mins,work_pred
2242,0.037833296415656366,0.047297158202882578,0.037581794097897331,0.039171257059467758,0.47929639374407873,-0.018679136887238629,4800288,73.0,3226,60.000005600890503,Bad,3967008,73.0,2666,60.000000088856119,22297680,14985,0,6429648,73.0,4321,60.000000000164349,7117104,76.0,4783,65.577190562830594
2378,0.094793028165320384,0.04931887865195677,0.063546068567633673,0.086206067674656009,0.50412437523972842,0.032799933527005637,14157360,78.0,3710,69.268453198969638,Average,8669952,78.0,2272,60.000000000013507,53645328,14058,2.0,25525224,76.0,6689,60.000000108062729,5323320,78.0,1395,79.036216163062235
2470,0.044811776751555767,0.039261505196516833,0.054161723283276654,0.034351261936986593,0.46835790201342486,-0.0071102707156817388,2633040,76.0,1219,63.262348112564254,Bad,4810320,80.0,2227,67.95140773179277,19455120,9007,1.2857142857142856,9396000,72.0,4350,60.000003363540308,2646000,80.0,1225,78.382801198003122
2557,0.09635644564428833,0.067146991594178515,0.07417025334742923,0.080337507559260168,0.68683672391922501,0.0073267294322153275,6962904,78.0,2076,60.000023407828309,Average,7603518,78.0,2267,60.000000960886013,31547724,9406,2.0,12000612,78.0,3578,60.000012270023994,5014230,78.0,1495,72.531728281458484
2814,0.061152333613731728,0.034107470735933489,0.033750942000273752,0.0612283301122847,0.48386477383376891,-0.0083894226405649263,13238152,77.0,4988,65.160515461472073,Bad,5825530,77.0,2195,61.604379264483747,45367476,17094,0,17497822,77.0,6593,60.000004343481287,8829858,77.0,3327,63.435428081409654
2829,0.039072523425634567,0.011534230678235209,0.033483649022263196,0.047321615648873189,0.27016827072320249,0.0072482004687334988,8213086,77.0,3898,68.421838500752031,Bad,2604252,78.0,1236,69.211878089296263,27277222,12946,1.8571428571428572,12384946,78.0,5878,60.00000000001031,4083366,84.0,1938,75.676852715378217
2953,0.051854342536028872,0.061112136675335584,0.040222404329535652,0.050800271250519162,0.51354641909614163,-0.0089550642884788714,8910750,79.0,5450,61.49127867691206,Good,8060550,79.0,4930,60.00000000029965,40606860,24836,3.1428571428571428,11567625,82.0,7075,60,12094095,79.0,7397,66.743525390798979
2995,0.071160990277029615,0.058998133019565011,0.026362039001203742,0.062070595677398852,0.99199281696347241,-0.012728714720410216,14167411,80.0,5393,67.603292875864867,Bad,14382825,75.0,5475,60.000002771129054,65966597,25111,1.2857142857142856,25245470,73.0,9610,60.000000000188038,12215550,80.0,4650,60.001216889564901
3367,0.07764527857769081,0.024013510377872391,0.03008875340388063,0.078561812929132127,0.76596875441524337,0.0013794016794162801,15000307,78.0,3961,66.769991570456668,Average,7570213,78.0,1999,60,51374442,13566,2.2857142857142856,23176440,76.0,6120,60.000000326903837,5661565,80.0,1495,63.034033926057631
3456,0.078803887762353364,0.063215174074015987,0.048380766400762928,0.061432484278265746,0.47112525239614567,-0.0065879344162340795,4984944,75.0,2788,65.404830654121952,Bad,6871284,75.0,3843,60.000000225345644,28599060,15995,0,9338724,80.0,5223,60,7427352,75.0,4154,63.957152243913789
3649,0.1531053450211694,0.10185749040153771,0.075232581944706015,0.11034567179888967,0.177073317004319,0.004093501186350209,1390795,80.0,395,60.686055345180556,Average,1848525,80.0,525,60.00000011062528,5647684,1604,2.7142857142857144,2411885,77.0,685,60.000000024562695,0,83.0,0,80.137305479958144
3652,0.12590085205462062,0.10163654042968398,0.075822634184250962,0.087587904571639993,0.9208969436810186,-0.0053812206961197468,7485877,73.0,1813,69.348375506327613,Bad,14843755,73.0,3595,60.000000000042562,56641622,13718,0,29237449,70.0,7081,60.000001764253255,5148863,75.0,1247,74.59466047927701
3723,0.037654070531301063,0.038149232030041884,0.034718289207407806,0.033607060956298791,0.45235758991902481,-0.0076185262681837482,3946698,73.0,2226,64.05501368776514,Bad,8255088,73.0,4656,60.000000097488289,25814880,14560,0.5714285714285714,9490869,73.0,5353,60.000000000000192,4145274,82.0,2338,72.728893216847368
3736,0.079440617640988961,0.097628125123323653,0.051463433403498245,0.063223200007324745,0.51784066646418003,-0.0034047821982061406,9852146,77.0,3838,60.353549910574124,Bad,7215837,77.0,2811,60,40748558,15874,0,11595139,75.0,4517,60.000000000578318,12108539,77.0,4717,60.309657668364068
3967,0.08149158213416817,0.062241827704699985,0.052736335896232125,0.06714729238280584,0.68857673280926668,-0.012361133902369292,13565424,78.0,5424,61.279971729608199,Average,11076929,78.0,4429,60.000000469654658,58933564,23564,2.0,16736692,77.0,6692,60,17589533,78.0,7033,61.956095474608951
4767,0.074099440230275343,-0.0090309768359991913,0.045657415375151097,0.078481393166948868,0.57573386913467772,0.026745989083666846,15117336,77.0,3627,68.57352370475563,Bad,5243344,77.0,1258,82.726085728439628,52233376,12532,1,24791264,77.0,5948,60.000000027188435,7106440,85.0,1705,74.940565331645573
4874,0.044898298413139373,0.0075711876962236977,0.055120763976748803,0.059449435100933014,0.47488648819375939,0.012094078890725411,12006267,75.0,4179,66.765087172129327,Bad,4007835,75.0,1395,70.168762127681475,37452428,13036,0,15525692,75.0,5404,60.000000021679796,5935618,75.0,2066,83.624070083932438
4922,0.036998541428838481,0.019595012622211323,0.020347620848211592,0.038457907500521367,0.32063590465802272,0.00033169375657098016,3363790,77.0,2105,72.362223024835899,Bad,2782118,77.0,1741,67.13305850537121,20595024,12888,0.2857142857142857,11310644,78.0,7078,60.000001967007492,3149658,80.0,1971,60.000000230820959
4946,0.035186629089463496,0.024700027833515967,0.021380384137866866,0.037785809596763649,0.50909344198054995,0.0053418605100585981,7574912,78.0,3818,67.012045419622893,Average,5932160,78.0,2990,60,31813440,16035,2.0,10499328,78.0,5292,60.000000023963814,7824896,78.0,3944,60.000341370001628
4998,0.11465680082800475,0.096494739091162796,0.076245879674075562,0.093325955864477866,0.7306507170036749,-0.0069517627207120016,11208600,77.0,3900,61.017230443935233,Bad,10429746,78.0,3629,60.000000051199812,53318448,18552,1.0,15381648,76.0,5352,60,16335816,78.0,5684,62.384326162872867
5026,0.078806692586994603,0.089988697335878401,0.049419309456488356,0.071933544705648597,0.52666096199234314,-0.018622272958139251,6988695,74.0,3295,63.528719243835411,Bad,4878300,72.0,2300,60.000000001159819,26928216,12696,0,7610148,72.0,3588,60,7468041,75.0,3521,60.000715002094154
5109,0.044965175221084001,0.022233079108005878,0.027036177999377541,0.037617224570683255,0.41645551634383143,-2.548197361423075e-05,11404950,77.0,6950,61.418437856073439,Bad,6883995,77.0,4195,60.00002222885756,39767994,24234,0,13009848,77.0,7928,60.000001553004296,8503662,77.0,5182,68.234844453114732
5209,0.028871083284974102,0.033109907211548259,0.020158140498068564,0.024026714484345388,0.27246265390038521,-0.012794406502597193,3503776,76.0,3928,60.342117995750762,Bad,2416428,76.0,2709,60.000000021316652,14406692,16151,0,4565256,74.0,5118,60,3929260,76.0,4405,60.00008995633214
5218,0.030395703955935664,0.032005373044220069,0.022950405713022724,0.019512236578155234,0.38459183608283798,-0.0097044149736118714,1605550,76.0,985,60.000295403786069,Bad,1817450,78.0,1115,60.000000010315638,11067700,6790,1.5714285714285714,5964170,76.0,3659,60,1687050,82.0,1035,65.324081930375002
5357,0.045175566410600949,0.072711488187624851,0.036931582614746342,0.066647635288171206,1.0867399683612569,-0.019552210431779644,15162911,75.0,5191,65.493769962827301,Bad,9799955,75.0,3355,70.492709494027437,57602120,19720,0,19357467,78.0,6627,60.000000000137845,13322681,75.0,4561,63.346652602943699
5371,0.053423995574313807,0.042310980797270165,0.034240380295997914,0.049278439847616311,0.67790326501543585,-0.014227564840946198,10347205,78.0,4939,65.420152756955815,Average,7753595,78.0,3701,60.000000000448821,45222670,21586,2.2857142857142856,19068690,78.0,9102,60.000000002056446,8084605,80.0,3859,63.675634101110731
5677,0.030349333092998476,0.016726828902800243,0.034047695610995389,0.026580485824489002,0.59537312985687607,0.00057280118366252882,4493244,76.0,2154,63.688289815898536,Bad,6172474,76.0,2959,64.297004440710452,27291138,13083,0.14285714285714285,13137628,73.0,6298,60.000000397119351,3510738,79.0,1683,76.214041528991928
5785,0.043986279386649986,0.034319919145784659,0.023803674566988866,0.056864369702550904,0.32778774828114926,-0.0059941357368846907,12531030,78.0,5970,65.132905769404147,Average,4090951,78.0,1949,66.149032568731457,38552333,18367,2.0,14136765,77.0,6735,60.000000017673941,7814577,78.0,3723,60.004257965781996
5814,0.041875002662759821,0.021368956295613032,0.021419057064312193,0.035869422436132524,0.55258961685936447,-0.0039240281183819791,8257195,75.0,4285,65.938955870245422,Bad,6310925,73.0,3275,60,34992393,18159,0.0,15082629,73.0,7827,60.000001407889151,5372476,78.0,2788,60.127014053009987
6072,0.068623529122428029,0.068276847008595945,0.044784700918773845,0.056144991804026767,0.57683083897189436,-0.039657866423369457,3323807,83.0,1619,60.713853699864323,Good,1619817,83.0,789,60.000000065316506,10371756,5052,3.7142857142857144,2989168,83.0,1456,60,2447176,83.0,1192,60
6836,0.027485302390412702,0.027286546885149206,0.019490380730867184,0.020532486364459594,0.21351606744729668,-0.0095897631378832286,1204897,78.0,1531,61.529997964728622,Bad,2604970,76.0,3310,60.000000190954211,8654639,10997,1.2857142857142856,2508956,77.0,3188,60.000000000000007,2345260,80.0,2980,66.725998116110702
6910,0.078220079535828643,0.040302741227834261,0.04599849490708742,0.079583540548304341,0.67390329745434274,0.0087981910669372217,5311502,75.0,1306,72.607962025723793,Bad,8300747,75.0,2041,62.000680514238091,43622642,10726,0.0,24723293,72.0,6079,60.000000008239823,5319636,78.0,1308,60.01603472993947
7319,0.056877169359948097,0.044175618643314908,0.038506163459330979,0.048440693410427511,0.50572620546631175,-0.002187879910327168,6562866,78.0,2622,64.711021419441067,Average,5148671,78.0,2057,63.183196146919315,30494049,12183,2.2857142857142856,10903068,77.0,4356,60.000000822830046,7914486,80.0,3162,65.058873359184275
7390,0.063594547429011231,0.045948292349412077,0.030396184411413743,0.056601999110796358,0.40860702687125311,-0.023460415843771613,1670382,78.0,1134,60.854904792435313,Average,1330119,78.0,903,60.000000116601015,7347324,4988,2.1428571428571428,2175621,77.0,1477,60,2175621,79.0,1477,63.415617858879386
7510,0.029147647822350384,0.023225852185270183,0.020042582711115906,0.026532212659251448,0.28814129841417618,-0.0035336608617497593,4206793,78.0,3007,60.000000000000341,Average,1376616,80.0,984,60.000000000000341,14429286,10314,2.2857142857142856,5530247,78.0,3953,60.000000953909144,3324024,80.0,2376,60.000086527093906
7731,0.056655181020808784,-0.0037327565962179199,0.020557363238201735,0.065771158119271131,0.54915240665098841,0.011635698227833238,12594337,75.0,4399,71.599811664775316,Bad,3006150,75.0,1050,60.025900918222312,40688956,14212,0,19273716,77.0,6732,60.000000017843959,5834794,77.0,2038,60.645213308320763
7769,0.059271196816451349,0.059933252008719219,0.052160218289231189,0.047411248370908911,0.48135231589264976,-0.015509461046451531,7847076,79.0,4826,64.95924625640238,Good,9838926,80.0,6051,60.000000184371842,39830496,24496,3,10240548,80.0,6298,60,11938092,85.0,7342,65.557576103706594
7866,0.074634625699972729,0.054180487387894806,0.037365500471967246,0.056737713307681986,0.70844049345600579,-0.015511202978172592,6160011,75.0,2249,66.481915811080015,Bad,7378866,78.0,2694,60.000000000527436,34478532,12588,1.0,15683514,73.0,5726,60.000000000000036,5272575,78.0,1925,65.04502040893064
7982,0.045557946172564215,0.027060254233600339,0.055549270060902635,0.03658058973421021,0.5303899245490451,0.0086817847695344185,4279393,78.0,1811,67.425374337085003,Average,5701919,78.0,2413,60.000014090707552,26635736,11272,2.5714285714285712,14846729,78.0,6283,60.000005050884788,1826599,82.0,773,78.900488350235179
8047,0.11865689128650656,0.098469878271790989,0.066441580868860456,0.091223738352647382,0.66486958752756964,-0.0070314027614276475,10047480,78.0,3316,60.000002789657316,Average,10411080,84.0,3436,60.000000062494749,50770680,16756,2.8571428571428572,15395430,78.0,5081,61.700473949408014,14953050,84.0,4935,62.818907124066371
8142,0.056812010052036066,0.019220444995665626,0.033140209854125052,0.035313764850667562,1.1493383198122844,-0.012901219994542058,10661304,82.0,3391,60.00000006230421,Average,8787480,80.0,2795,60.64868435041636,41535384,13211,2.2857142857142856,18106296,78.0,5759,60.338594546313601,4027464,80.0,1281,60.000000000000142
8292,0.062791682029728388,0.017613845797916125,0.026249463659730195,0.05747999793663524,0.59572932778110477,0.01719343450737405,6509970,76.0,2115,75.957532782699317,Bad,7051698,77.0,2291,60.000000000016762,38157966,12397,0,20641068,77.0,6706,60.000000196394424,3979854,77.0,1293,66.616326218688513
8956,0.070640800993612238,0.071045841963158621,0.041463121903363376,0.035673178213557623,0.21472203232119086,-0.01494091409912891,1759500,71.0,1500,60.00060447538236,Bad,1765365,71.0,1505,60.000000003629573,8799846,7502,0.2857142857142857,2509047,70.0,2139,60,2771799,80.0,2363,71.442097242322291
9484,0.066570967879613488,0.034350171977301086,0.039814274368575937,0.053374390225281974,0.69388778972190446,0.0071281930757973793,15573312,72.0,5692,62.094843836887961,Bad,10919376,74.0,3991,60.000184192329364,55376640,20240,0,22164336,68.0,8101,60.000000362166972,6774336,74.0,2476,71.889493341442218
9499,0.02346930909279488,0.010169084593184404,0.021865917165831718,0.02318224123156571,0.63101154482224209,0.0031126297894942135,4385388,80.0,2324,62.095640410597248,Average,4068372,78.0,2156,65.375067586661174,23028948,12204,2.2857142857142856,10948374,78.0,5802,60.000001137336547,3645684,80.0,1932,60.000000000002572
9609,0.055159823399610522,0.025505237885802577,0.025915873390150678,0.047375570951773742,0.70373281285853095,-0.0090517373359422885,6822651,78.0,2323,68.489702492984847,Bad,3818100,76.0,1300,60.000000000585814,31922253,10869,1.5714285714285714,15198975,78.0,5175,60.000000013783321,6111897,82.0,2081,60.001320839581886
9654,0.068377426134824698,0.033816448307274941,0.034593531495121226,0.059731414863049406,0.54827345174463993,0.001959777559942184,5416515,78.0,1833,63.13703461100647,Average,4952580,78.0,1676,60.000000902998309,31033410,10502,2.0,16471170,78.0,5574,60,4216785,78.0,1427,64.45074103696011
9922,0.083519170321199543,0.070860656617192402,0.044654919530277948,0.077949457001214542,1.1375754111455514,-0.014036716852727926,13071822,68.0,2693,67.62974927229655,Bad,8509062,69.0,1753,60.000018721898911,57699498,11887,0,25163136,68.0,5184,60.00000001471463,10989456,68.0,2264,66.980105031988984
9933,0.065036659901225896,0.075489126923267702,0.053909019631584787,0.069548466789156174,0.46456952819054448,-0.0075669172428842833,9773115,74.0,4855,64.356814746277323,Average,10807797,78.0,5369,60.000000000760195,48748821,24217,2,13583724,74.0,6748,60,14618406,85.0,7262,61.160655638220895
9934,0.071211555203918614,0.031166891601282973,0.054938685581732843,0.070168984106661156,0.96839179912058615,-0.014860018253185329,10810768,77.0,3733,74.243934245348683,Bad,10978736,77.0,3791,60.000030824118561,45394800,15675,0,18760288,74.0,6478,66.213752242759739,4873968,77.0,1683,83.854598477439282
