On start time,On end time,Off start time,Off end time,On duration,Off duration,Door open time during on (s),Door open time during off (s),Max temp delta on,Max temp delta off,Type,Notes,Freezer used,Hot Food,Fridge opened
9 Apr 15 13:56:50,9 Apr 15 14:25:18,9 Apr 15 14:25:18,9 Apr 15 14:35:13,28m 28s,9m 55s,0,0,0,0,After defrost,Freezer used during off cycle,TRUE,FALSE,TRUE
9 Apr 15 14:35:13,9 Apr 15 15:00:50,9 Apr 15 15:00:50,9 Apr 15 15:25:36,25m 37s,24m 46s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
9 Apr 15 15:25:36,9 Apr 15 15:53:33,9 Apr 15 15:53:33,9 Apr 15 16:17:44,27m 57s,24m 11s,0,10,0,0.2,Regular,,FALSE,FALSE,TRUE
9 Apr 15 16:17:44,9 Apr 15 16:38:44,9 Apr 15 16:38:44,9 Apr 15 16:55:37,21m,16m 53s,0,30,0,1,Regular,,FALSE,TRUE,TRUE
9 Apr 15 16:55:37,9 Apr 15 17:20:52,9 Apr 15 17:20:52,9 Apr 15 17:44:53,25m 15s,24m 1s,10,0,0.2,0,Regular,,FALSE,FALSE,TRUE
9 Apr 15 17:44:53,9 Apr 15 18:07:03,9 Apr 15 18:07:03,9 Apr 15 18:24:16,22m 10s,17m 13s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
9 Apr 15 18:24:16,9 Apr 15 18:49:24,9 Apr 15 18:49:24,9 Apr 15 19:14:47,25m 8s,25m 23s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
9 Apr 15 19:14:47,9 Apr 15 19:34:35,9 Apr 15 19:34:35,9 Apr 15 20:04:11,19m 48s,29m 36s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
9 Apr 15 20:04:11,9 Apr 15 20:26:06,9 Apr 15 20:26:06,9 Apr 15 21:02:44,21m 55s,36m 38s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
9 Apr 15 21:02:44,9 Apr 15 21:31:35,9 Apr 15 21:31:35,9 Apr 15 22:09:43,28m 51s,38m 8s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
9 Apr 15 22:09:43,9 Apr 15 22:33:37,9 Apr 15 22:33:37,9 Apr 15 23:12:22,23m 54s,38m 45s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
9 Apr 15 23:12:22,9 Apr 15 23:37:08,9 Apr 15 23:37:08,10 Apr 15 0:16:38,24m 46s,39m 30s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
10 Apr 15 0:16:38,10 Apr 15 0:40:46,10 Apr 15 0:40:46,10 Apr 15 1:20:16,24m 8s,39m 30s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
10 Apr 15 1:20:16,10 Apr 15 1:44:47,10 Apr 15 1:44:47,10 Apr 15 2:24:39,24m 31s,39m 52s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
10 Apr 15 2:24:39,10 Apr 15 2:48:24,10 Apr 15 2:48:24,10 Apr 15 3:27:55,23m 45s,39m 31s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
10 Apr 15 3:27:55,10 Apr 15 3:52:26,10 Apr 15 3:52:26,10 Apr 15 4:31:48,24m 31s,39m 22s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
10 Apr 15 4:31:48,10 Apr 15 4:55:57,10 Apr 15 4:55:57,10 Apr 15 5:36:03,24m 9s,40m 6s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
10 Apr 15 5:36:03,10 Apr 15 5:59:42,10 Apr 15 5:59:42,10 Apr 15 6:39:49,23m 39s,40m 7s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
10 Apr 15 6:39:49,10 Apr 15 7:03:13,10 Apr 15 7:03:13,10 Apr 15 7:43:28,23m 24s,40m 15s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
10 Apr 15 7:43:28,10 Apr 15 8:07:21,10 Apr 15 8:07:21,10 Apr 15 8:47:13,23m 53s,39m 52s,0,59,0,0.6,Regular,,FALSE,TRUE,TRUE
10 Apr 15 8:47:13,10 Apr 15 9:20:48,10 Apr 15 9:20:48,10 Apr 15 9:56:41,33m 35s,35m 53s,10,0,0.1,0,Regular,,FALSE,TRUE,TRUE
