home,total,baseline,defrost,usage,usage_cycles,non_usage_cycles,defrost_cycles,baseline_duty_percent,total_mins,artifical_sum,baseline_percentage,defrost_percentage,usage_percentage
44,48.3573903225,42.7093581162,0.0,5.6308850963,1332.0,4412.0,0.0,0.777777777778,108837.0,48.3402432125,88.3202295067,0.0,11.6443113633
45,54.217315911,47.5335762135,0.0,6.68280692646,1200.0,3474.0,0.0,0.566666666667,108837.0,54.2163831399,87.6723154122,0.0,12.3259641577
46,54.8969487578,38.5905896745,0.0,16.247085123,5292.0,6958.0,0.0,0.5,108837.0,54.8376747975,70.2964200155,0.0,29.5956068428
47,45.1834548368,19.3532984893,0.0,25.7885045284,4113.0,1316.0,0.0,0.25,44339.0,45.1418030177,42.8327106885,0.0,57.0751055262
50,65.225515718,51.8634821181,0.0,13.3566618972,1032.0,2749.0,0.0,0.7,108837.0,65.2201440153,79.5141004977,0.0,20.4776639175
51,37.9169582771,16.9091714388,0.0,21.0039741728,1348.0,605.0,0.0,0.25,23039.0,37.9131456117,44.595274007,0.0,55.3946706888
52,57.2024160462,44.9911921659,0.0,12.1985578301,1458.0,2541.0,0.0,0.545454545455,44339.0,57.189749996,78.6526081863,0.0,21.3252493045
54,37.7103052106,26.6780452034,0.0,11.0297196946,6771.0,7970.0,0.0,0.5,108837.0,37.707764898,70.744707725,0.0,29.2485558868
55,32.8927413211,25.7554155812,0.0,7.13672373874,2838.0,6677.0,0.0,0.6,108837.0,32.8921393199,78.301213419,0.0,21.6969563865
57,35.8581791836,19.2369555381,0.0,16.6163017899,5599.0,3989.0,0.0,0.285714285714,108837.0,35.853257328,53.6473294966,0.0,46.3389446095
58,45.667874068,38.2404813466,0.0,7.41457208131,2761.0,8205.0,0.0,0.625,108837.0,45.655053428,83.7360663859,0.0,16.235859962
59,33.1489622758,8.93548508109,0.0,24.1956950067,4335.0,600.0,0.0,0.130434782609,108837.0,33.1311800878,26.9555499407,0.0,72.990806787
60,48.4386406327,33.0304937401,0.0,15.3802431466,6004.0,7152.0,0.0,0.5,108837.0,48.4107368867,68.1903812919,0.0,31.7520123309
61,47.9202845579,35.0316448232,0.0,12.8571636741,2575.0,2801.0,0.0,0.5,108837.0,47.8888084973,73.104,0.0,26.8303157895
67,59.2889257083,43.9313774824,0.0,15.3385531136,1351.0,2076.0,0.0,0.5,65878.0,59.2699305961,74.0971049106,0.0,25.8708568766
68,47.5218049238,41.0305355258,0.0,6.47369606578,299.0,1091.0,0.0,0.727272727273,22739.0,47.5042315916,86.3404401234,0.0,13.6225803632
70,54.9967298225,48.381588397,0.0,6.55148921978,440.0,1150.0,0.0,0.68085106383,65878.0,54.9330776168,87.9717549628,0.0,11.9125068725
72,52.5529397815,40.4250961676,0.0,12.0869243388,1665.0,2689.0,0.0,0.555555555556,65878.0,52.5120205064,76.9226161955,0.0,22.9995208433
75,55.5590177246,54.5936989432,0.0,0.0,0.0,3353.0,0.0,0.93023255814,108837.0,54.5936989432,98.2625344707,0.0,0.0
76,40.3189129474,11.2036785723,0.0,29.0456411207,3582.0,836.0,0.0,0.157894736842,86098.0,40.249319693,27.7876503936,0.0,72.0397426355
78,68.3899381174,62.7418547521,0.0,5.6426058163,478.0,4826.0,0.0,0.8,108837.0,68.3844605684,91.7413533032,0.0,8.25063740606
79,45.1851216876,32.1290162343,0.0,13.0136128194,349.0,428.0,0.0,0.495327102804,22739.0,45.1426290537,71.1052997853,0.0,28.8006590075
83,47.9766345126,47.9559415496,0.0,0.0,0.0,5860.0,0.0,0.888888888889,108837.0,47.9559415496,99.9568686651,0.0,0.0
84,64.0545176176,40.150753559,0.0,23.7591051647,2104.0,1350.0,0.0,0.545454545455,108837.0,63.9098587237,62.6821574065,0.0,37.0920054484
87,43.8170843513,27.40312583,0.0,16.3974200278,4047.0,2936.0,0.0,0.4,108837.0,43.8005458579,62.5398203367,0.0,37.4224352684
88,31.5601422942,22.5768772468,0.0,8.97381825991,4753.0,5298.0,0.0,0.4,108837.0,31.5506955067,71.5360439012,0.0,28.4340234472
89,38.2888614013,28.6232895636,0.0,9.6361994735,2704.0,3316.0,0.0,0.36,108837.0,38.2594890371,74.7561784707,0.0,25.1671089733
92,88.2659714154,,0.0,,0.0,0.0,0.0,,22739.0,,,0.0,
93,54.281597727,43.9763717788,0.0,10.278751128,3331.0,6970.0,0.0,0.571428571429,108837.0,54.2551229068,81.0152494036,0.0,18.9359774923
95,43.1085609469,27.544099471,0.0,15.5564721211,3897.0,2369.0,0.0,0.4,44339.0,43.1005715921,63.894731965,0.0,36.0867349303
97,44.2657020665,18.4985755574,0.0,25.7347306498,2008.0,707.0,0.0,0.25,44339.0,44.2333062072,41.7898614364,0.0,58.1369535519
99,18.0373704156,7.79485592397,0.0,10.2416081822,2879.0,733.0,0.0,0.09375,108837.0,18.0364641062,43.2150349211,0.0,56.7799404582
100,52.7180750248,47.3603390066,0.0,5.35689586273,1679.0,8166.0,0.0,0.692307692308,108837.0,52.7172348693,89.8370036924,0.0,10.1614026313
102,50.2734740111,35.7568709886,0.0,14.4969156,5746.0,7035.0,0.0,0.5,108837.0,50.2537865886,71.1247266913,0.0,28.8361126522
103,90.0707518547,69.8295411965,0.0,20.1313950622,2490.0,5015.0,0.0,0.666666666667,108837.0,89.9609362586,77.5274323336,0.0,22.3506461839
104,113.813545254,99.6906759806,0.0,13.9371221463,986.0,4824.0,0.0,0.777777777778,108837.0,113.627798127,87.5912227832,0.0,12.2455742111
106,34.974368713,23.2018722039,0.0,11.7008583712,2452.0,4060.0,0.0,0.428571428571,108837.0,34.9027305751,66.3396454537,0.0,33.4555241504
